peanut spread|101|8.5|1.6|3.8|2.2|0.5|1.2|0.0|0.028|0.3|0|0|0|0|1.2|0.046|11.2|0.4|25.4|126.8|0.5|27.3
chicken spread|88|9.8|1.8|10.1|2.3|0.3|0.2|31.4|0.4|32.1|0.076|0.064|0|0|0|0|9|0.5|6.7|59.4|0.6|31.972
cheese spread|708|68.6|43.2|17|8.4|8.4|0|216.0|1.2|140.4|0.7|0.011|0|0.091|1.8|0.098|170.4|2.7|14.4|268.8|1.2|267.8
tahini|86|7.2|1|2.7|3.9|0|1.4|0.0|0.098|0.5|0|0|0|0|0|0|63|0.4|14.4|62.1|0.7|78.6
orange marmalade|49|0|0|0.014|13.3|12|0.1|0.0|0.016|6.6|0|0|1|0|0.089|0|7.6|0.053|0.4|7.4|0.046|22.119
american cheese spread|46|3.4|2.1|2.6|1.4|1.2|0|8.8|0.3|7.6|0.043|0.022|0|0.014|0.022|0.046|89.9|0.079|4.6|38.7|0.4|97.357
apricot jam|48|0.010|0.042|0.1|12.9|8.7|0.044|0.0|0.004|6.9|0|0|1.8|0|0.048|0|4|0.066|0.8|15.4|0.062|18.91
chunky peanut butter|94|8|1.2|3.8|3.5|1.3|1.3|0.0|0.030|0.2|0|0|0|0|1|0.016|7.2|0.3|25.6|119.2|0.4|24.1
ham and cheese spread|37|2.8|1.3|2.4|0.3|0|0|9.2|0.2|8.9|0.030|0.035|0|0|0|0|32.6|0.1|2.7|24.3|0.3|38.238
chicken and rice casserole homade|27|1|0|2|2.4|0|0.3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.7
picnic loaf|65|4.7|1.7|4.2|1.3|0|0|10.6|0.3|16.9|0|0.004|0|0.025|0|0|13.2|0.3|4.2|74.8|0.6|23.7
corn tamale|309|12|4.4|5.8|44.3|12.3|5.3|0.0|0.5|101.8|0|0|0|0|0.7|0.052|39.8|0.9|48.1|308.8|1|108.1
baked potato with cheese sauce bacon|451|25.9|10.1|18.4|44.4|0|0|29.9|1|194.4|0.2|0.007|28.7|0|0|0|308|3.1|68.8|1178.10|2.2|428.7
chinese egg roll|223|10.6|1.9|7.4|24.3|0|2.3|14.2|0.4|45|0|0.079|0|0|0|0.066|35.6|1.3|16|146.9|0.6|81.5
butter croissant|231|12|6.6|4.7|26.1|6.4|1.5|38.2|0.2|13.2|0.1|0.092|0.1|0|0.5|0.022|21.1|1.2|9.1|67.3|0.4|66.8
enchilada with cheese beef|323|17.6|9|11.9|30.5|0|0|40.3|1.3|128.4|0.016|0.036|1.3|0|0|0|228.5|3.1|82.6|574.1|2.7|292.933
corned beef hash with potatoes|387|24.2|10.2|20.6|21.9|0.8|2.6|75.5|1|166|0|0.062|2.1|0|0.057|0.017|44.8|2.4|30.7|405.9|3.3|118.6
biscuit with egg cheese bacon|436|25.3|8.5|17.4|35.4|2.5|0.3|240.7|1.2|62.3|0.1|0.067|0|0.095|1.5|0.098|149.4|2.3|21.8|190|1.6|230.2
bagel with ham egg cheese|483|18.5|7.9|26.7|52.4|7|0.4|242.6|1.3|88.7|0.2|0.048|0|0.001|1.2|0.018|185.3|4.1|40.1|261.7|2.4|287.6
quesadilla with chicken|529|27.5|11.1|27.1|43.3|3.4|3.1|66.6|1.3|76.7|0.1|0.012|0.2|0.100|0.5|0.030|484.2|3.2|45|329.4|2.6|588.7
corn rice|110|0.3|0.020|1.8|25.2|3|0.4|0.0|0.2|1.1|0.2|0|11.2|0|0.035|0|2.9|9.9|5.5|30.5|2.2|51.9
kung pao chicken|779|42.2|8.2|59|41.5|18.3|9.1|157.0|2.4|451.7|0|0.034|42.9|0|6.2|0.012|120.8|4.6|145|1316.70|4.5|320.1
beef empanada|298|16.3|4.6|10.1|27.8|1.6|1.8|23.1|0.4|33.4|0|0.094|0|0|0.6|0.072|17.8|2.4|18.7|169.1|1.7|76.2
frijoles with cheese|225|7.8|4.1|11.4|28.7|0|0|36.7|0.9|115.4|0.008|0.085|1.5|0|0|0|188.7|2.2|85.2|604.5|1.7|240.305
burrito with beef|285|8.1|1.7|9.1|43.9|4.1|4.4|2.6|0.5|65.8|0.036|0.2|0.1|0.4|0|0.5|0.042|0.2|3.2|150.9|0.002|65.89
crispy chicken sandwich|350|17.6|3.3|14.8|33.2|3.9|0|0.0|0.7|57.9|0|0|0|0|0|0|46.6|1.9|25.2|233.1|0.7|114.1
enchilada with cheese|374|25.3|11.5|15.4|21.2|3.6|2.6|57.5|0.7|71.8|0.7|0.073|0.2|0.8|0|1.8|0|0.2|0.9|367.2|0.030|65.6
pork egg roll|189|6.1|1.3|8.4|25.1|4.5|1.8|11.9|0.3|43.6|0|0.071|24.9|0.085|0.2|0.064|28.9|1.3|17|180.2|0.8|96.5
corn on the cob with butter|155|3.4|1.6|4.5|31.9|0|0|5.8|0.056|105.2|0.004|0|6.9|0|0|0|4.4|0.9|40.9|359.2|0.9|52.078
pancakes with butter syrup|260|7|2.9|4.1|45.4|0|0|29.0|0.6|57.7|0.015|0.046|1.7|0|0.7|0|63.8|1.3|24.4|125.3|0.5|123.319
burrito with beans|224|6.7|3.4|7|35.7|0|0|2.2|0.5|57|0|0.093|1|0|0|0|56.4|2.3|43.4|326.6|0.8|109.1
scrambled eggs|100|7.6|2.9|6.5|1|0.8|0|200.2|0.1|31.3|0.066|0.041|1.6|0.086|0.5|0.001|26.8|1.2|6.6|69.1|0.8|44.726
baked potato with sour cream|393|22.3|10|6.7|50|0|0|24.2|0.2|209.7|0.2|0.009|33.8|0|0|0|105.7|3.1|69.5|1383.20|0.9|221.8
turkey and gravy|161|6.3|2|14.1|11.1|0|0|43.2|1.3|204.2|0.018|0.099|0|0|0|0|33.6|2.2|19.2|146.4|1.7|67.374
chicken egg roll|158|3.6|0.8|8.4|22.8|4.5|1.9|11.2|0.4|43.3|0.085|0.019|9|0|0.3|0.072|37.6|1.4|24|224.8|0.4|84.75
vegetable egg roll|153|3.6|0.6|5.2|25|5.3|2.2|0.0|0.4|42.5|0|0.014|10.7|0|0.4|0.099|35.9|1.5|20.3|195|0.4|84.1
ham cheese roll|67|5.2|2|3.8|1.1|0|0|16.2|0.3|16.9|0|0.008|0|0.061|0.037|0|16.2|0.3|4.5|82.3|0.6|26.6
biscuit with ham|386|18.4|11.4|13.4|43.8|2.2|0.8|24.9|1.1|32.1|0.050|0|0.1|0.080|1.4|0.089|160.5|2.7|22.6|196.6|1.6|239.732
lemon chicken|1440|74.9|12.2|68.6|122|55.2|7|203.8|1.5|363.6|0.099|0.028|15.9|0.045|8.1|0.2|248.4|8.4|95.6|987.4|3.2|545.212
hummus|435|21.1|2.8|12|49.5|0.7|9.8|0.0|0.6|159.6|0|0|19.4|0|1.8|0.059|120.5|3.8|71.3|425.6|2.7|236.1
croissant with egg cheese|368|24.7|14.1|12.8|24.3|0|0|215.9|0.6|57.7|0|0.043|0.1|0|0|0|243.8|2.2|21.6|174|1.8|307.9
enchirito with cheese beef beans|344|16.1|7.9|17.9|33.8|0|0|50.2|1.3|121|0.074|0.051|4.6|0|0|0|218.1|2.4|71.4|559.7|2.8|292.984
sweet sour pork|38|2.2|0.4|1.2|3.3|1.4|0.1|3.4|0.003|7.1|0.003|0.002|0.3|0|0.1|0.058|6.4|0.4|1.8|21.3|0.1|13.977
crab cake|160|10.4|2.2|11.3|5.1|0|0.2|82.2|0.5|32|0.062|0.019|0.2|0|0|0|202.2|1.1|25.2|162|2.1|230.596
egg dinner roll|107|2.2|0.6|3.3|18.2|1.5|1.3|17.5|0.2|10.6|0.051|0.060|0|0|0.1|0.082|20.7|1.2|8.8|36.4|0.4|46.913
english muffin with egg cheese sausage|472|29.9|11.4|22.1|28.8|2.5|0.3|269.0|0.8|80.6|0.1|0.093|0|0.063|1.6|0.051|277.2|4.3|28.1|242.6|1.7|362.7
buttermilk pancakes|86|3.5|0.7|2.6|10.9|0|0|22.0|0.2|20|0.094|0.089|0.2|0|0|0|59.7|0.6|5.7|55.1|0.2|77.568
omelet|94|7.1|2|6.4|0.4|0.2|0|190.9|0.013|46.4|0.4|0.041|0.003|0|0.098|0.8|0.050|0.070|0.9|101.9|0.030|14.377
taco with chicken cheese lettuce|185|6.2|2.5|13|19.3|1.3|1.2|28.4|0.6|57.3|0.014|0.094|0.2|0.017|0.2|0.075|119.6|1.6|23.5|212.7|0.7|161.153
spinach souffle|230|17.6|10.1|10.7|8|2.5|1|160.5|0.8|96.2|0.2|0.061|9.9|0.063|1.3|0.2|224.4|1.6|40.8|314.2|1.2|273.4
english muffin with cheese sausage|365|22.3|8.8|14.3|27.3|2.1|0.5|46.4|0.7|41|0.074|0.042|0|0.085|0.6|0.010|226.8|3.4|22.7|193.3|1.3|294.696
potato gratin|328|18.6|11.6|12.4|27.6|0|4.4|56.4|1.1|181.3|0.2|0|24.3|0|0|0|291.6|1.6|49|970.2|1.7|380.7
biscuit with egg|436|25.3|8.5|17.4|35.4|2.5|0.3|240.7|1.2|62.3|0.1|0.002|0.1|0.027|1.5|0.037|149.4|2.3|21.8|190|1.6|230.3
french fries deep fried|222|10.5|1.7|2.4|29.4|0.2|2.7|0.0|0.1|27.4|0.063|0.002|0.3|3.3|0|1.2|0.075|0.038|0.6|88.8|0.019|45.364
sweet sour chicken|46|2.3|0.4|1.8|4.4|2.1|0.2|4.9|0.043|9.5|0.031|0.057|0.4|0|0.2|0.098|8.2|0.4|2.7|28.9|0.057|17.773
burrito with beans beef|460|18|7|27.8|47|5.3|7.2|62.7|1.4|144.6|0.096|0.088|4.6|0.059|1.1|0.022|216.9|4.6|60.3|648.3|4.8|326.183
nachos with cinnamon sugar|592|36|18.2|7.2|63.4|0|0|39.2|0.4|1.1|0|0.056|8|0|0|0|85|2.9|19.6|78.5|0.6|202.5
arroz con grandules|209|5.7|0.9|4|35.4|0|1.6|0.0|0.7|67.7|0|0|0|0|0.8|0.066|9.2|0.3|16.1|96.6|0.9|56.2
chili con carne|271|8.8|3.2|14.7|33.1|4.7|8.3|22.8|1.1|191.5|0.4|0.005|0.3|0.5|0|1.3|0.063|0.6|3.4|220.1|0.039|66.245
arroz con abichuelas|223|5.4|0.8|6.2|37.3|0.2|4.1|0.0|0.6|105.6|0|0|0|0|0.4|0.046|23.6|1.9|33|304.6|1.1|78.5
biscuit with sausage|412|27.1|8.2|10.7|33.3|1.8|0.4|31.1|0.9|36.4|0|0.012|0|0.044|0.9|0.035|52.2|2.1|14.4|169.8|0.8|125.8
vegetarian stew|304|7.4|1.2|42|17.3|3.1|2.7|0.0|1|172.9|0|0.093|0|0|1.2|0.041|76.6|3.2|313.7|296.4|2.7|149.2
chicken sandwich with cheese|632|38.8|12.4|29.4|41.6|0|0|77.5|1.2|104.9|0.2|0.092|3|0|0|0|257.6|3.6|43.3|332.9|2.9|374.2
biscuit with egg steak|410|28.4|8.6|17.9|21.3|0|0|272.3|0.9|77.7|0.2|0.063|0.1|0|0|0|137.6|5.3|25.2|306.4|2.8|210.8
taco salad|212|11.2|5.2|10|17.9|0|0|33.0|0.6|108.5|0|0.097|2.7|0|0|0|145.5|1.7|39|315|2|189.0
succotash|213|1.5|0.3|9.7|46.8|0|0|0.0|0.5|131.3|0|0|15.7|0|0|0|32.6|2.9|101.8|787.2|1.2|109.2
nachos with cheese jalapeno peppers|608|34.1|14|16.8|60.1|0|0|83.6|1.7|87.1|0.4|0.050|1|0|0|0|620.2|2.4|108.1|293.8|2.9|735.0
biscuit with egg ham|442|27|5.9|20.4|31.4|4.2|0.8|299.5|1.4|108.7|0.1|0.062|0|0.093|2.1|0.057|220.8|4.6|30.7|318.7|2.2|305.1
ladyfingers|103|2.6|0.9|3|16.9|7.2|0.3|62.5|0.016|5.5|0|0.050|1|0.033|0.2|0.002|13.3|1|3.4|32|0.3|38.1
mozzarella steak fried|102|5.9|2.2|4.6|7.7|0.7|0.6|10.2|0.2|11.8|0.023|0.045|0|0.096|0.3|0.071|107.9|0.2|6.8|35.7|0.6|126.963
tamale navajo|285|11.4|4.5|11.7|33.7|1.8|5.8|31.6|0.8|126.7|0|0.032|3.2|0|0|0|53.9|2.3|40.9|243.7|2.8|122.0
blueberry pancakes|84|3.5|0.8|2.3|11|0|0|21.3|0.2|20.2|0.023|0.044|0.8|0|0|0|78.3|0.7|6.1|52.4|0.2|96.631
chimichanga with beef cheese|443|23.4|11.2|20.1|39.3|0|0|51.2|1|96.4|0.1|0.012|2.7|0|0|0|237.9|3.8|60.4|203.1|3.4|327.3
egg cheese sandwich|340|19.4|6.6|15.6|25.9|0|0|290.5|0.8|82.2|0.2|0.028|1.5|0|0|0|224.8|3|21.9|188.3|1.6|290.4
biscuit with egg bacon|458|31.1|8|17|28.6|3.3|0.8|352.5|1.3|70|0.082|0.040|2.7|0.066|2|0.098|189|3.7|24|250.5|1.6|272.958
pupusas con queso|300|15.5|7.6|13.7|26.2|1.4|3.4|37.4|0.5|58.9|0.1|0.066|0|0|0.5|0.073|380.3|0.7|42.1|140.4|2.2|439.9
apple croissant|145|5|2.8|4.2|21.1|0|1.4|17.7|0.2|26|0.031|0.035|0.3|0|0|0|17.1|0.6|7.4|51.3|0.6|49.733
refried red beans|336|16.1|2.2|11.7|36|0|11|0.0|0.9|164.8|0|0|0|0|2.4|0|76.9|4.5|83.9|722.3|1.6|156.2
tostada with guacamole|180|11.6|4.9|6.2|16|0|0|19.6|0.4|94.6|0.016|0.047|1.8|0|0|0|211.4|0.8|36.5|324.9|2|247.853
chicken sandwich|468|20.9|4|30.4|39.1|6.8|2.6|65.5|1.4|91.5|0.077|0.1|0.7|1.5|0.031|4.5|0.012|0.2|3.3|346|0.064|94.051
fried rice|228|3.2|0.7|6.5|43.4|0.6|1.5|32.2|0.6|85.4|0.076|0|0|0.059|0.2|0.081|19.6|1|14|123.2|1.1|75.203
pupusas del cerdo|283|12.7|3.9|14|28.1|1.8|3.2|35.4|0.5|64.8|0.064|0.057|0|0|0.4|0.016|59.8|1.2|46.4|311.1|2|119.087
turkey pot pie|699|34.9|11.4|25.8|70.3|0|4.4|63.5|1.4|260.8|0|0|0|0|0|0|0|4|0|0|0|139.4
cheese croissant|331|16.7|8.5|7.4|37.6|9.1|2.1|45.6|0.3|16.8|0.2|0.068|0.2|0|1.2|0.022|42.4|1.7|19.2|105.6|0.8|108.3
chimichanga with beef|425|19.7|8.5|19.6|42.8|0|0|8.7|0.9|88.2|0|0.042|4.7|0|0|0|62.6|4.5|62.6|586.4|5|153.9
french toast with butter|178|9.4|3.9|5.2|18|0|0|58.1|0.3|34.2|0.088|0.084|0.004|0|0|0|36.5|0.9|8.1|88.4|0.3|70.093
ham egg cheese sandwich|347|16.3|7.4|19.2|30.9|0|0|246.0|1|73.1|0.2|0.095|2.7|0|0|0|211.6|3.1|25.7|210.2|2|284.0
english muffin with butter|189|5.8|2.4|4.9|30.4|0|0|12.6|0.4|20.6|0.089|0|0.8|0|0.1|0|102.7|1.6|13.2|69.3|0.4|146.209
savoury noodle one pan dinner tandaco|172|1.2|0.5|0.0|5.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|6.7
ham cheese sandwich|352|15.5|6.4|20.7|33.3|0|0|58.4|0.8|74.2|0.019|0.026|2.8|0|0.3|0|129.9|3.2|16.1|290.5|1.4|205.416
sweet gefilte fish|35|0.7|0.2|3.8|3.1|0|0|12.6|0.2|33.7|0.062|0.076|0.3|0|0|0|9.7|1|3.8|38.2|0.3|18.677
poached egg|72|4.7|1.6|6.3|0.4|0.2|0|185.0|0.1|37.9|0.088|0.061|0|0.084|0.5|0.032|28|0.9|6|69|0.6|40.398
tostada with beef cheese|315|16.3|10.4|19|22.8|0|0|40.8|0.9|101.1|0.022|0.069|2.6|0|0|0|216.8|2.9|63.6|572.1|3.7|280.498
tostada with beans cheese|223|9.9|5.4|9.6|26.5|0|0|30.2|0.5|95.4|0.011|0.017|1.3|0|0|0|210.2|1.9|59|403.2|1.9|259.467
pork tamale|247|12.8|3.8|10.4|22.4|0.7|3.4|28.4|0.7|93.8|0.037|0.045|0|0|0.8|0.033|106.5|1.2|36.9|215.8|1.7|156.766
nachos with cheese|274|17.2|1.7|3.5|27.9|1.7|2.6|2.4|0.3|29.9|0.044|0.041|0.2|0.9|0|3.3|0.050|0.029|0.6|158.4|0.068|51.581
pulled pork in barbecue sauce|418|11|3.5|32.8|46.7|37.8|3|87.2|1.7|151.9|0|0.067|0.5|0.064|2.2|0.099|109.6|3.1|54.8|759.5|4.6|206.7
baked potato with cheese sauce|474|28.7|10.6|14.6|46.5|0|0|17.8|0.4|194.6|0.3|0.010|26|0|0|0|310.8|3|65.1|1166.20|1.9|429.9
baked beans|310|10.3|3.9|11.1|43.3|0|11|10.0|0.8|130.3|0|0.031|0.2|2.2|0|0|0|0.3|4|218|0.052|76.2
arroz con frijoles|220|5.6|1.1|6.8|35.6|1.3|5|0.0|0.6|95.6|0|0|0|0|0.7|0.096|54|2.3|38|327|1.1|109.3
taco with beef cheese lettuce|156|8.8|3|6.1|13.7|0.6|2.7|19.3|0.3|39.3|0.043|0.075|0.3|0.060|0.4|0.057|61.4|0.8|22.1|144.2|1.2|93.825
burrito with beans cheese beef|165|6.6|3.6|7.3|19.8|0|0|61.9|0.5|65.9|0|0.045|2.5|0|0|0|65|1.9|25.4|205|1.2|103.1
egg mix|30|2.2|0.8|2.4|0.098|0.091|0|81.5|0.012|0.1|0.078|0.085|0.034|0|0.049|0.2|0.078|0.055|0.4|31.5|0.043|4.876
falafel|57|3|0.4|2.3|5.4|0|0|0.0|0.081|5.9|0|0.009|0.010|0.3|0|0|0|0.002|0.6|32.6|0.018|10.763
taco salad with chili con carne|193|8.8|4|11.6|17.7|0|0|3.5|0.6|133.6|0.1|0.063|2.3|0|0|0|163.6|1.8|34.8|261|2.2|205.9
wonton wrappers|93|0.5|0.022|3.1|18.5|0|0.6|2.9|0.2|9.2|0.097|0|0|0|0|0|15|1.1|6.4|26.2|0.2|38.815
hushpuppies|512|20.5|3.2|11.7|69.9|3.1|4.3|68.4|1|44.1|0.074|0.008|0.3|0|1.9|0.010|422.6|4.6|36.5|218.9|1|533.994
chicken pot pie|598|34.6|12.6|14.6|57.3|7.2|3|51.3|1.2|191.6|0|0.024|3|0.024|1.1|0.034|63.4|1.8|33.2|317.1|1.3|177.7
general tsos chicken|1578|87.5|14.8|69|128.3|62.1|4.8|283.6|2.3|241.6|0.081|0.080|8.6|0.015|6.5|0.2|64.2|6.2|96.3|1075.40|7|368.673
burrito with beans cheese|379|11.2|4.3|13.6|57.8|3.2|7.8|9.3|1|98.4|0.033|0.081|0.7|0.020|1|0.020|229.4|4.4|62.9|482.9|1.6|324.946
vegetarian fillets|247|15.3|2.4|19.6|7.7|0.7|5.2|0.0|0.4|38.3|0|0.014|0|0|2.9|0|80.8|1.7|19.6|510|1.2|130.3
biscuit with egg sausage|505|33.6|10.4|18|34.1|1.5|0.3|260.8|1.1|72.1|0.071|0.083|0|0.047|1.5|0.042|82.6|3.1|21.1|241.4|1.5|171.757
chicken chow mein|513|16.9|3|40.8|50.1|10.5|6|96.6|1.9|489.3|0.093|0.092|12.1|0|2.6|0.1|126.8|4|66.4|749|1.9|256.797
fruit burrito|231|9.5|4.6|2.5|35|0|0|3.7|0.2|26.4|0|0.015|0.7|0|0|0|15.5|1.1|7.4|104.3|0.4|64.3
arroz con leche|369|9.3|4.8|8.1|63|38.6|1.3|20.2|0.3|170.5|0|0.062|0|0|0.5|0|227.7|0.6|27.8|359.3|1.3|310.0
caramel custard flan|444|12.3|5.5|13.9|69.7|70.8|0|275.4|0.2|208.2|0.1|0.050|0|0|0.7|0.081|254|1.2|27.5|361.1|1.4|351.2
gelatin dessert|167|0|0|3.3|38.3|36.4|0|0.0|0.2|227.9|0|0|0|0|0|0|8.1|0.094|2.7|2.7|0.014|49.792
chocolate milk dessert|229|1.4|0.8|5.9|51.6|51.6|0|0.0|0.1|76.7|0|0.076|1|0|0|0|211|0.020|61.7|456.2|0.6|270.99
